surf_hab,qualite_materiau,surface_sous_sol,qualite_globale,n_garage_voitures,n_toilettes,n_cheminees,n_pieces,n_cuisines,n_chambres_coucher,annee_vente,prix,type_toit,type_batiment,qualite_cuisine,surface_jardin
1752,9,1752,5,2,0,1,6,1,2,2010,319900,4 pans,bout de rangée,excellente,0.0
2149,7,1434,5,2,1,1,6,1,1,2009,239686,2 pans,individuelle,bonne,355.7361229040212
1656,8,1656,5,3,0,0,7,1,3,2007,249700,2 pans,individuelle,bonne,105.71222262189157
1452,4,736,5,0,0,0,8,3,2,2009,113000,2 pans,individuelle reconvertie,moyenne,34.36182895684614
955,5,955,7,1,0,0,6,1,3,2007,127000,2 pans,individuelle,moyenne,0.0
1470,6,794,6,2,0,0,6,1,3,2007,177000,2 pans,individuelle,moyenne,32.4083969394795
1176,6,816,6,2,0,1,6,1,3,2006,114500,2 pans,individuelle,moyenne,0.0
816,5,816,5,2,0,0,5,1,2,2010,110000,2 pans,duplex,moyenne,0.0
1842,9,1842,5,3,1,1,5,1,0,2006,385000,2 pans,individuelle,bonne,462.36762888408674
1360,5,384,5,2,0,1,6,1,3,2007,130000,2 pans,individuelle,moyenne,103.09995224959509
1425,6,1425,5,2,0,1,7,1,3,2008,180500,2 pans,individuelle,moyenne,93.12801191161985
1739,8,970,5,2,1,0,7,1,3,2009,172500,2 pans,milieu de rangée,bonne,317.8782476777361
1720,7,860,5,2,1,0,7,1,3,2006,196500,2 pans,individuelle,bonne,370.2787624148785
2945,10,1410,5,3,1,1,10,1,3,2006,438780,4 pans,individuelle,bonne,434.32634314035636
780,5,780,7,1,0,0,4,1,2,2008,124900,2 pans,individuelle,moyenne,97.55451271223592
1158,6,1158,5,2,1,0,5,1,3,2006,158000,2 pans,individuelle,bonne,353.28257621547095
1111,5,530,7,1,0,0,6,1,3,2007,101000,2 pans,individuelle,mediocre,0.0
1370,8,1370,5,2,0,1,6,1,2,2007,202500,2 pans,bout de rangée,bonne,0.0
1710,7,576,6,2,0,0,9,1,3,2010,140000,2 pans,individuelle,moyenne,0.0
2034,7,1057,5,2,1,0,8,1,3,2009,219500,2 pans,individuelle,bonne,483.0525822394198
2473,8,1143,5,3,1,1,9,1,4,2007,317000,2 pans,individuelle,bonne,537.0240028570823
2207,7,1947,5,2,0,1,7,1,3,2010,180000,2 pans,individuelle,moyenne,0.0
1479,7,1453,5,2,0,0,7,1,3,2007,226000,2 pans,individuelle,bonne,100.35328978920242
747,4,747,6,1,0,0,4,1,2,2010,80000,2 pans,individuelle,moyenne,36.16360250476342
2287,7,1304,4,2,0,1,7,1,3,2006,225000,2 pans,individuelle,moyenne,0.0
2223,7,2223,6,2,0,2,8,1,3,2007,244000,2 pans,individuelle,moyenne,36.139560550841395
845,4,845,6,2,0,0,4,1,2,2007,129500,2 pans,individuelle,moyenne,153.80365664659692
1718,7,832,5,2,1,1,7,1,3,2009,185000,2 pans,individuelle,moyenne,398.21739608900486
1086,5,1086,7,2,0,0,6,1,3,2010,144900,2 pans,individuelle,moyenne,156.4643655814006
1605,3,840,6,1,0,0,8,2,3,2010,107400,mansarde,individuelle,moyenne,0.0
988,4,462,5,1,0,0,5,1,2,2009,91000,2 pans,milieu de rangée,moyenne,82.19025043752238
952,4,952,7,1,0,0,4,1,2,2008,135750,2 pans,individuelle,moyenne,8.704706823817123
1285,5,672,5,1,0,0,6,1,2,2008,127000,2 pans,individuelle,moyenne,0.0
1768,4,1768,5,0,0,0,8,2,4,2010,136500,4 pans,duplex,moyenne,9.17607765355023
1230,5,440,6,2,1,0,5,1,2,2009,110000,2 pans,individuelle,moyenne,203.0431085399107
2142,6,896,6,1,1,1,8,1,4,2009,193500,2 pans,individuelle,bonne,379.8328112162488
1337,6,1237,5,2,0,0,5,1,2,2006,153500,4 pans,bout de rangée,moyenne,35.71125715117464
1563,8,1563,5,3,0,1,6,1,3,2008,245000,2 pans,individuelle,bonne,147.7894044741516
1065,5,1065,5,2,1,0,6,1,3,2007,126500,2 pans,individuelle,moyenne,349.57297817263526
1474,7,384,5,2,1,1,7,1,3,2009,168500,2 pans,individuelle,moyenne,320.95063971068123
2417,8,1288,5,2,1,1,9,1,4,2006,260000,4 pans,individuelle,bonne,351.0242956415463
1560,6,684,5,2,1,1,6,1,3,2009,174000,2 pans,individuelle,bonne,493.3402117702074
1224,6,612,5,2,1,0,4,1,2,2009,164500,2 pans,bout de rangée,bonne,434.67511096596843
1526,3,1013,2,0,0,0,6,1,2,2009,85000,4 pans,individuelle,mediocre,0.0
990,4,990,5,0,0,0,5,1,3,2007,123600,2 pans,individuelle,moyenne,51.32674331133561
1040,4,0,5,2,0,0,4,1,2,2006,109900,2 pans,individuelle,moyenne,9.707754934804038
1235,5,1235,3,2,0,0,6,1,2,2006,98600,4 pans,individuelle,moyenne,96.86449905328892
964,5,876,7,2,0,0,5,1,2,2009,163500,2 pans,individuelle,moyenne,0.0
2291,6,1214,6,2,0,1,9,2,4,2007,133900,4 pans,individuelle reconvertie,moyenne,0.0
1786,6,824,5,2,1,0,7,1,3,2007,204750,2 pans,individuelle,bonne,362.18918468678424
1470,6,680,8,2,1,1,6,1,3,2009,185000,2 pans,individuelle,moyenne,255.4485051867881
1588,7,1588,5,2,0,0,6,1,3,2006,214000,2 pans,individuelle,bonne,29.612027706457607
960,4,960,5,1,0,0,6,1,3,2007,94750,4 pans,individuelle,moyenne,26.105527217988932
835,5,458,5,1,0,0,5,1,2,2010,83000,2 pans,individuelle,moyenne,0.511345664246089
1225,4,950,5,0,1,0,6,1,3,2010,128950,2 pans,individuelle,moyenne,378.5412866624853
1610,6,1610,7,2,0,2,6,1,3,2010,205000,2 pans,individuelle,bonne,0.0
1732,6,741,5,2,1,1,7,1,3,2010,178000,2 pans,individuelle,bonne,359.93546772346406
1535,5,0,5,2,0,0,8,2,4,2009,118964,2 pans,duplex,moyenne,0.0
1226,7,1226,5,3,0,0,6,1,3,2010,198900,2 pans,individuelle,bonne,0.0
1818,7,1040,4,1,1,2,7,1,4,2007,169500,2 pans,individuelle,moyenne,385.2714288333991
1992,8,1053,5,2,1,1,9,1,3,2008,250000,4 pans,individuelle,bonne,442.0050856814538
1047,4,641,7,1,0,0,6,1,2,2007,100000,mansarde,individuelle,moyenne,188.61859012105302
789,5,789,5,1,0,0,5,1,2,2008,115000,2 pans,individuelle,moyenne,17.457781283183895
1517,5,793,7,0,0,0,7,1,3,2007,115000,2 pans,individuelle,mediocre,25.755039072276436
1844,6,1844,6,2,0,1,7,1,3,2010,190000,4 pans,individuelle,moyenne,0.0
1855,6,994,4,1,0,0,7,1,4,2006,136900,2 pans,individuelle,moyenne,0.0
1430,7,384,5,2,1,1,7,1,3,2010,180000,2 pans,individuelle,moyenne,399.3486124550783
2696,7,1264,5,3,1,1,10,1,4,2007,383970,2 pans,individuelle,excellente,407.4230209941026
2259,6,1809,5,2,0,2,7,1,3,2007,217000,4 pans,individuelle,bonne,246.32421124852863
2320,6,1028,8,1,1,1,9,1,3,2007,259500,mansarde,individuelle,bonne,382.1639035218878
1458,6,729,5,2,1,1,5,1,2,2007,176000,2 pans,bout de rangée,moyenne,431.5547342333613
1092,5,1092,5,1,0,1,6,1,3,2009,139000,2 pans,individuelle,moyenne,0.0
1125,5,1125,5,2,1,0,5,1,2,2007,155000,2 pans,individuelle,moyenne,284.5321962380468
3222,7,1673,5,3,0,2,11,1,5,2010,320000,4 pans,individuelle,bonne,114.28228145150206
1456,6,728,5,2,1,1,8,1,3,2006,163990,2 pans,individuelle,bonne,476.3933032686774
988,6,938,5,2,0,2,4,1,1,2006,180000,plat,individuelle,moyenne,79.10319470430468
1123,4,732,5,1,0,0,4,1,3,2007,100000,2 pans,individuelle,moyenne,0.0
1080,6,1080,7,1,0,0,5,1,3,2008,136000,4 pans,individuelle,moyenne,140.27943109360993
1199,6,1199,5,2,0,0,5,1,2,2008,153900,2 pans,bout de rangée,bonne,0.0
1586,6,1362,5,2,0,1,7,1,3,2009,181000,2 pans,individuelle,moyenne,58.68570938002703
754,6,520,8,0,0,0,5,1,2,2006,84500,2 pans,individuelle reconvertie,moyenne,219.04556258099785
958,6,1078,5,2,0,1,5,1,2,2007,128000,2 pans,bout de rangée,moyenne,0.0
840,5,672,7,0,0,1,5,1,3,2007,87000,2 pans,individuelle,moyenne,0.0
1348,6,660,5,2,1,1,6,1,3,2006,155000,2 pans,individuelle,moyenne,411.16513650876414
1053,5,1008,7,2,1,0,6,1,3,2006,150000,2 pans,individuelle,excellente,350.85243458838005
2157,7,924,6,2,1,2,8,1,4,2006,226000,2 pans,individuelle,bonne,246.1336568933867
2054,6,992,5,2,1,1,7,1,3,2009,244000,2 pans,individuelle,bonne,408.6562974806027
1327,5,1063,6,2,0,0,7,1,3,2007,150750,2 pans,individuelle,bonne,0.0
1296,8,1267,5,2,0,0,6,1,2,2009,220000,2 pans,individuelle,bonne,47.35924306351816
1721,5,1461,6,2,1,1,7,1,3,2006,180000,2 pans,individuelle,moyenne,309.2575765766196
1682,7,1304,6,2,0,1,7,1,3,2008,174000,4 pans,individuelle,moyenne,154.99344050175395
1214,5,1214,5,1,0,1,5,1,3,2007,143000,2 pans,individuelle,moyenne,0.0
1959,7,1907,5,3,0,0,9,2,5,2006,171000,2 pans,duplex,moyenne,0.0
1852,8,1004,5,3,1,2,7,1,3,2008,230000,2 pans,individuelle,bonne,482.951721736967
1764,6,928,5,2,1,0,7,1,3,2009,231500,2 pans,individuelle,bonne,278.71356835660447
864,4,864,5,0,0,1,5,1,3,2010,115000,2 pans,individuelle,moyenne,22.74599346041294
1734,7,1734,5,2,0,0,7,1,3,2006,260000,2 pans,individuelle,bonne,130.71427542824281
1385,5,910,4,2,0,0,6,1,4,2010,166000,2 pans,individuelle,moyenne,0.0
1501,7,1490,5,2,0,0,6,1,3,2009,204000,2 pans,individuelle,bonne,18.46338585323042
1728,5,1728,5,2,0,0,10,2,6,2006,125000,2 pans,duplex,moyenne,25.988279424842354
1709,6,970,5,2,0,0,7,1,3,2006,130000,2 pans,milieu de rangée,bonne,78.18228717773104
875,5,715,7,1,0,0,5,1,2,2009,105000,2 pans,individuelle,moyenne,0.0
2035,7,884,5,2,1,1,8,1,3,2010,222500,2 pans,individuelle,bonne,269.95433869157233
1080,7,1080,5,0,0,0,6,1,3,2008,141000,2 pans,individuelle,bonne,52.194156561689766
1344,5,896,4,1,0,0,7,1,3,2006,115000,2 pans,individuelle,moyenne,29.698467323318607
969,5,969,6,2,1,0,5,1,3,2007,122000,2 pans,individuelle,moyenne,426.4492850345877
1710,8,1710,5,3,0,1,6,1,2,2008,372402,4 pans,individuelle,bonne,34.64482094969757
1993,6,825,5,2,1,1,8,1,4,2006,190000,2 pans,individuelle,moyenne,333.19752784215086
1252,6,1602,7,2,0,1,4,1,1,2008,235000,plat,individuelle,moyenne,23.225369716100356
1200,6,1200,5,1,0,0,7,1,4,2006,125000,2 pans,individuelle,moyenne,29.307247329868126
1096,6,572,5,0,0,0,5,1,2,2008,79000,2 pans,individuelle,moyenne,0.0
1040,5,0,7,2,0,0,5,1,2,2006,109500,4 pans,individuelle,moyenne,186.57745111447565
1968,8,774,5,3,1,1,8,1,4,2010,269500,2 pans,individuelle,excellente,449.3832920911787
1947,7,991,5,2,1,1,8,1,3,2010,254900,2 pans,individuelle,bonne,282.86965027973514
2462,7,1392,5,2,1,1,9,1,4,2006,320000,2 pans,individuelle,bonne,466.8553608633829
1232,6,1232,6,2,0,0,6,1,3,2008,162500,2 pans,individuelle,moyenne,0.0
2668,9,1572,5,3,1,2,10,1,3,2008,412500,2 pans,individuelle,excellente,480.30846037424516
1541,7,1541,5,2,0,1,7,1,3,2010,220000,2 pans,individuelle,bonne,115.85955790074041
882,4,882,6,0,0,0,4,1,1,2007,103200,2 pans,individuelle,moyenne,0.0
1616,6,1149,7,1,0,0,5,1,3,2007,152000,2 pans,individuelle,bonne,96.33761292443218
1355,5,644,7,0,0,0,6,2,4,2008,127500,2 pans,individuelle reconvertie,moyenne,41.27809269364983
1867,5,1617,5,1,0,3,7,1,2,2009,190000,4 pans,individuelle,moyenne,82.206015999449
2161,8,1582,5,3,1,1,8,1,3,2007,325624,2 pans,individuelle,excellente,591.0792982653948
1720,7,840,5,2,1,1,7,1,3,2007,183500,2 pans,individuelle,bonne,376.86118839971294
1707,8,1686,6,2,1,1,6,1,2,2006,228000,4 pans,individuelle,moyenne,325.82638356425105
1382,5,720,6,2,1,0,7,1,2,2007,128500,2 pans,individuelle,moyenne,312.4485570374477
1656,6,1080,5,2,0,2,7,1,3,2010,215000,4 pans,individuelle,moyenne,0.0
1767,7,1064,7,2,0,1,5,1,2,2006,239000,2 pans,bout de rangée,bonne,0.0
1362,6,1362,5,2,1,1,6,1,3,2008,163000,2 pans,individuelle,moyenne,435.7151974816644
1651,6,1606,5,2,0,1,7,1,3,2008,184000,2 pans,individuelle,moyenne,27.669079933001907
2158,6,1202,7,2,0,1,7,1,4,2007,243000,2 pans,individuelle,bonne,82.71832490360238
2060,6,1151,5,2,1,1,8,1,4,2007,211000,2 pans,individuelle,moyenne,402.70018918779067
1920,5,1052,5,2,0,1,8,1,4,2006,172500,2 pans,individuelle,bonne,145.3534077157317
2234,9,2216,5,3,0,1,9,1,1,2009,501837,4 pans,individuelle,excellente,0.0
968,5,968,6,2,0,0,5,1,2,2007,100000,2 pans,individuelle,moyenne,272.01691665896186
1525,6,756,5,2,1,1,5,1,3,2007,177000,2 pans,milieu de rangée,bonne,463.96673477650063
1802,7,793,6,1,1,1,9,1,4,2006,200100,2 pans,individuelle,moyenne,315.48424435837165
1340,5,0,6,1,0,1,7,1,3,2007,120000,4 pans,individuelle,moyenne,0.0
2082,7,1362,5,2,1,0,6,1,3,2008,200000,2 pans,individuelle,bonne,449.8472415243185
1252,5,504,8,2,0,0,5,1,3,2006,127000,2 pans,individuelle,moyenne,0.0
3608,10,1107,9,3,1,2,12,1,4,2006,475000,2 pans,individuelle,excellente,472.6000494092092
1217,7,1188,5,2,0,0,6,1,3,2009,173000,2 pans,individuelle,bonne,47.32376245735448
1656,5,660,7,1,1,0,8,1,3,2009,135000,2 pans,individuelle,moyenne,394.5171087343127
1224,5,1086,5,2,2,2,6,2,2,2009,153337,2 pans,duplex,moyenne,718.9206281931595
1593,8,1593,5,2,1,1,5,1,0,2008,286000,2 pans,bout de rangée,excellente,250.11527753141354
2727,8,853,8,2,1,2,10,1,3,2007,315000,4 pans,individuelle,bonne,356.7485047932979
1479,7,725,9,2,1,0,7,1,4,2007,184000,2 pans,individuelle,bonne,487.0398794323473
1431,7,1431,5,2,0,0,6,1,3,2009,192000,2 pans,individuelle,bonne,21.409374413020394
1709,7,970,5,2,0,0,7,1,3,2006,130000,2 pans,milieu de rangée,bonne,0.0
864,5,864,7,1,0,0,5,1,3,2008,127000,4 pans,individuelle,moyenne,17.3180925851182
1456,6,855,6,2,1,1,7,1,3,2009,148500,2 pans,milieu de rangée,moyenne,440.3317379728836
1726,7,1726,5,3,0,1,8,1,3,2007,311872,4 pans,individuelle,excellente,0.0
3112,8,1360,4,2,0,1,8,1,4,2006,235000,2 pans,individuelle,bonne,15.372510594552791
2229,6,755,6,0,0,0,8,1,5,2009,104000,2 pans,individuelle,moyenne,5.820871844599989
1713,8,1713,5,3,0,1,7,1,3,2009,274900,4 pans,individuelle,excellente,0.0
1121,4,1121,5,2,0,0,5,1,2,2010,140000,2 pans,individuelle,moyenne,35.77873603482833
1279,6,1196,6,2,0,2,6,1,3,2008,171500,2 pans,individuelle,moyenne,56.07845263682344
1310,6,617,6,1,0,0,6,1,2,2006,112000,2 pans,individuelle,moyenne,108.3051243175277
848,6,848,5,2,0,1,3,1,1,2008,149000,2 pans,bout de rangée,bonne,105.38020520349029
1284,5,720,7,1,1,0,5,1,2,2009,110000,2 pans,individuelle,moyenne,264.0330632042909
1442,7,1424,5,2,0,0,5,1,3,2009,180500,2 pans,individuelle,moyenne,0.0
1696,5,1140,5,1,1,1,8,1,3,2007,143900,2 pans,individuelle,moyenne,452.903526720866
1100,4,1100,5,1,0,1,6,1,3,2008,141000,2 pans,individuelle,moyenne,51.37859509122088
2062,7,1157,5,2,1,1,7,1,3,2007,277000,2 pans,individuelle,moyenne,452.9047686306048
1092,6,1092,7,2,0,0,6,1,3,2008,145000,4 pans,individuelle,moyenne,385.2731490654721
864,5,864,6,0,0,0,5,1,2,2008,98000,2 pans,individuelle,moyenne,57.089051069316696
1212,6,1212,5,2,0,0,6,1,3,2010,186000,2 pans,individuelle,bonne,113.55656401805989
1852,7,900,5,2,1,1,7,1,3,2009,252678,2 pans,individuelle,bonne,497.20017634932015
990,5,990,5,2,0,0,5,1,3,2006,156000,2 pans,individuelle,moyenne,65.1391251305798
1392,6,689,7,1,1,0,6,1,3,2010,161750,2 pans,individuelle,moyenne,370.4730755359654
1236,5,1070,6,1,0,1,6,1,2,2006,134450,2 pans,individuelle,bonne,75.89692204932675
1436,7,1436,5,2,0,0,8,1,3,2008,210000,2 pans,individuelle,bonne,0.0
1328,4,686,4,1,0,0,8,1,3,2006,107000,2 pans,individuelle,moyenne,0.0
1954,7,798,9,2,1,2,8,1,3,2008,311500,2 pans,individuelle,bonne,353.0636452170897
1248,7,1248,5,2,0,0,5,1,2,2006,167240,2 pans,bout de rangée,bonne,8.187413938632256
1498,7,1498,5,2,0,0,5,1,2,2006,204900,2 pans,individuelle,bonne,231.46585666735086
2267,6,1010,5,2,1,1,8,1,4,2009,200000,2 pans,individuelle,bonne,215.07348074082518
1552,6,713,6,2,1,1,6,1,3,2006,179900,2 pans,individuelle,moyenne,469.8260190374513
864,4,864,6,2,0,0,4,1,2,2009,97000,2 pans,individuelle,moyenne,0.0
2392,10,2392,5,3,0,1,8,1,3,2009,386250,4 pans,individuelle,excellente,0.0
1302,5,630,5,1,1,0,6,1,3,2009,112000,2 pans,milieu de rangée,moyenne,510.69505969673656
2520,7,1203,5,3,1,1,9,1,4,2007,290000,2 pans,individuelle,bonne,407.82800190954634
987,6,483,6,1,1,0,5,1,2,2008,106000,2 pans,milieu de rangée,moyenne,293.8255222070694
912,5,912,5,1,0,1,5,1,3,2010,125000,2 pans,individuelle,moyenne,0.0
1555,7,1373,5,2,0,1,7,1,2,2009,192500,2 pans,bout de rangée,bonne,67.95977489346758
1194,6,1194,6,1,0,0,6,1,3,2010,148000,4 pans,individuelle,moyenne,0.0
2794,8,1462,5,3,1,1,9,1,4,2009,403000,2 pans,individuelle,excellente,423.44585895819745
987,6,483,5,1,1,1,5,1,2,2006,94500,2 pans,milieu de rangée,moyenne,405.75718399038135
894,5,894,6,1,0,0,5,1,3,2010,128200,2 pans,individuelle,moyenne,0.0
1960,6,860,5,2,1,2,8,1,4,2010,216500,2 pans,individuelle,bonne,616.3944089325324
987,6,483,3,1,1,0,5,1,2,2008,89500,2 pans,bout de rangée,moyenne,464.99190223180113
1414,7,1414,5,2,0,0,6,1,3,2010,185500,2 pans,individuelle,bonne,0.0
1744,7,996,7,2,1,0,7,1,3,2010,194500,2 pans,individuelle,bonne,420.64543147694275
1694,8,1694,5,3,0,0,7,1,3,2007,318000,4 pans,individuelle,bonne,0.0
1487,6,735,4,1,1,1,7,1,3,2010,113000,2 pans,individuelle,moyenne,487.2433334796224
1566,8,1566,5,2,0,0,7,1,3,2010,262500,2 pans,individuelle,bonne,0.0
866,5,686,9,0,0,0,4,1,2,2007,110500,2 pans,individuelle,bonne,0.0
1440,5,540,4,1,0,0,6,1,3,2006,79000,2 pans,individuelle,moyenne,50.498727898045715
1217,6,626,6,1,1,1,6,1,3,2009,120000,2 pans,bout de rangée,moyenne,488.3755194170122
2110,7,948,5,2,1,2,8,1,3,2010,205000,2 pans,individuelle,bonne,281.97035929442234
1872,7,1845,5,2,0,1,6,1,3,2006,241500,2 pans,individuelle,moyenne,0.0
1928,6,1020,8,1,0,0,9,2,4,2006,137000,2 pans,individuelle reconvertie,mediocre,0.0
1375,6,1367,5,2,0,1,5,1,2,2006,140000,4 pans,individuelle,moyenne,0.0
1668,7,840,5,2,1,0,8,1,3,2007,180000,2 pans,individuelle,bonne,577.9454240281098
2144,6,1444,7,2,0,2,7,1,4,2007,277000,2 pans,individuelle,bonne,40.498171096095554
1306,3,728,2,0,0,0,6,1,3,2010,76500,2 pans,individuelle,mediocre,0.0
1625,8,1573,5,2,0,1,5,1,2,2007,235000,4 pans,bout de rangée,bonne,91.78619470547761
1640,6,798,5,2,1,0,6,1,3,2008,173000,2 pans,individuelle,bonne,613.8156197012634
1302,6,1302,7,1,0,0,7,1,3,2007,158000,4 pans,individuelle,bonne,103.24652605511469
1314,5,1314,6,1,0,0,5,1,3,2010,145000,2 pans,individuelle,moyenne,0.0
2291,7,975,5,2,1,1,8,1,4,2006,230000,2 pans,individuelle,bonne,352.7765927133748
1728,6,864,5,2,1,0,7,1,3,2008,207500,2 pans,individuelle,bonne,528.2911149186623
1604,7,1604,5,2,1,1,8,1,3,2009,220000,2 pans,individuelle,bonne,331.0330534381219
1792,7,963,5,2,1,1,7,1,3,2008,231500,2 pans,individuelle,bonne,445.9819428146228
882,5,0,5,1,0,0,4,1,2,2008,97000,2 pans,individuelle,moyenne,77.46340534293368
1382,6,1362,5,2,0,1,6,1,3,2009,176000,2 pans,individuelle,moyenne,0.0
2574,8,1482,5,3,1,1,10,1,3,2007,276000,2 pans,individuelle,excellente,395.44746439382004
1212,6,506,7,2,0,1,6,1,3,2006,151000,2 pans,individuelle,moyenne,0.0
1316,5,926,7,2,0,0,6,1,3,2010,130000,2 pans,individuelle,moyenne,0.0
764,5,680,5,2,0,0,4,1,2,2008,73000,2 pans,individuelle,moyenne,0.0
1422,6,1422,6,2,0,1,7,1,3,2008,175500,2 pans,individuelle,bonne,0.0
1511,6,802,5,2,1,1,8,1,3,2006,185000,2 pans,individuelle,moyenne,564.4411303931636
2192,5,720,8,1,1,1,8,1,4,2008,179500,2 pans,individuelle,bonne,258.58586220393676
778,5,740,6,1,0,1,4,1,2,2008,120500,2 pans,individuelle,moyenne,0.0
1113,6,1143,7,1,1,1,6,1,3,2007,148000,4 pans,individuelle,moyenne,414.4740577286091
1939,8,1095,5,3,1,1,8,1,3,2006,266000,2 pans,individuelle,bonne,545.3273289066116
1363,7,1385,7,2,0,2,5,1,2,2008,241500,plat,individuelle,moyenne,0.0
2270,8,1152,7,3,1,1,9,1,4,2010,290000,2 pans,individuelle,bonne,518.3163752154959
1632,6,1240,6,1,0,1,6,1,3,2009,139000,4 pans,individuelle,moyenne,1.0233061019587049
816,5,816,7,1,0,0,5,1,2,2007,124500,2 pans,individuelle,moyenne,0.0
1548,7,952,7,2,1,0,5,1,3,2009,205000,2 pans,individuelle,excellente,448.01034742632703
1560,7,1560,5,2,0,0,7,1,3,2010,201000,2 pans,individuelle,bonne,19.905969557347003
864,4,864,5,2,0,0,4,1,2,2010,141000,2 pans,individuelle,moyenne,0.0
2121,9,2121,5,3,1,1,8,1,3,2007,415298,2 pans,individuelle,excellente,408.3802084990019
2022,7,1160,5,2,1,1,8,1,4,2008,192000,4 pans,individuelle,moyenne,363.068640313824
1982,7,807,6,2,1,1,7,1,3,2007,228500,2 pans,individuelle,bonne,412.7517345251248
